NAICS_Code,NAICS_Sector,Name,Address,City,Zipcode,Business
4491,Retail Trade,Mr Mini Blind,Rossanley Dr,Medford,97501,Venetian Blinds-Retail
4491,Retail Trade,Muebleria Uruapan,S Central Ave,Medford,97501,Furniture-Dealers-Retail
4491,Retail Trade,Natural Mattress Heaven,E Main St,Ashland,97520,Mattresses
4491,Retail Trade,No Frills Flooring,Rossanley Dr,Medford,97501,Carpet & Rug Dealers-New
4491,Retail Trade,Pacific Pottery Outlet,E Pine St,Central Point,97502,Pottery
4491,Retail Trade,Papillion Rouge,N Phoenix Rd # 103,Medford,97504,Home Accessories & Furnishings
4491,Retail Trade,Pot Rack,W California St,Jacksonville,97530,Kitchen Accessories
4491,Retail Trade,Regenesis Ecological Design,Oak St,Ashland,97520,Furniture-Outdoor
4491,Retail Trade,Rogue Valley Floor Covering,Bluebonnet Ave,Medford,97504,Floor Coverings-Retail
4491,Retail Trade,Roots Furniture,Ehrman Way,Medford,97501,Furniture-Dealers-Retail
4491,Retail Trade,Shepherd's Dream LLC,A St,Ashland,97520,Bedding
4491,Retail Trade,Sleep Number,N Riverside Ave,Medford,97501,Mattresses
4491,Retail Trade,Smokeys Stoves,Delta Waters Rd,Medford,97504,Wood Burning Stoves
4491,Retail Trade,Soha,Centennial Dr,Medford,97504,Furniture-Dealers-Retail
4491,Retail Trade,Superior Carpet Svc Inc,Westfall Cir,Medford,97504,Vinyl-Dealers
4491,Retail Trade,Tandem Home,Center Dr # C,Medford,97501,Furniture-Outdoor
4491,Retail Trade,Terra Firma Home,E Main St,Medford,97501,Furniture-Dealers-Retail
4491,Retail Trade,Terra Mai,Agate Rd,White City,97503,Floor Materials
4491,Retail Trade,Valley Vinyl/Pristine Window,Merriman Rd,Medford,97501,Carpet & Rug Dealers-New
4491,Retail Trade,Vinyl Worx,W Dutton Rd,Eagle Point,97524,Vinyl-Dealers
4491,Retail Trade,Western Oregon Window Fashions,W Main St,Medford,97501,Window Treatments
4491,Retail Trade,541 Furniture Gallery LLC,N Riverside Ave,Medford,97501,Furniture-Dealers-Retail
4491,Retail Trade,A J A's Blinds & Designs,Hartley Rd,Phoenix,97535,Venetian Blinds-Retail
