"Code","Name","Description"
"0000000000","Not Applicable ","Not Applicable"
"0CREDAC001","Adobe Certified Associate","Adobe Certified Associate. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC002","Cisco Certified Entry Networking Technician","Cisco Certified Entry Networking Technician Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC003","CompTIA A+","CompTIA A+ Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC004","CompTIA Network+","CompTIA Network+ Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC005","CompTIA Server+","CompTIA Server+ Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC006","CompTIA Security+","CompTIA Security+ Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC007","Microsoft MTA","Microsoft MTA Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC008","Microsoft MCSA","Microsoft MCSA Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC009","Oracle Certified Associate PL/SQL","Oracle Certified Associate PL/SQL Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC010","Oracle Certified Associate Java","Oracle Certified Associate Java Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC011","CIW Web Foundations Associate","CIW Web Foundations Associate"
"0CREDAC012","Autodesk Maya Certified User","Autodesk Maya Certified User Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC013","Autodesk 3Ds Max Certified User","Autodesk 3Ds Max Certified User Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC014","CompTIA Fundamentals+","CompTIA Fundamentals+"
"0CREDAC015","Apple Swift","Apple Swift Certification. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDAC016","Microsoft 365 Fundamentals","Microsoft 365 Fundamentals"
"0CREDAC017","Microsoft Azure Fundamentals","Microsoft Azure Fundamentals"
"0CREDAC018","Microsoft Dynamics Fundamentals","Microsoft Dynamics Fundamentals"
"0CREDAC019","Unity Certified User: Programmer","Unity Certified User: Programmer"
"0CREDAC020","Arduino Certification used for an AIC CIP","Arduino Certification used for an AIC CIP"
"0CREDAC021","Oregon Association of Broadcasters Portfolio","Oregon Association of Broadcasters Portfolio"
"0CREDAC022","Dante Portfolio (Certification Levels 1, 2, and 3)","Dante Portfolio (Certification Levels 1, 2, and 3)"
"0CREDAG001","Wildland Fire Red Card Certification used for an AFN CIP","NWCG S-130, Firefighter Training AND NWCG S-190, Introduction to Wildland Fire Behavior for an AFN CIP"
"0CREDAG002","Ag Good Recordkeeping and Student Selections Portfolio","This is the same CTE IRC portfolio it has historically been with updated IRCNm; schools do not need to restrict reference to CTE IRCs to the official IRCNm. Please contact the AFN Education Program Specialist for details."
"0CREDAG003","Elanco Veterinary Medical Applications Certification","Elanco Veterinary Medical Applications Certification"
"0CREDAG004","FFA Statewide Degree","FFA Statewide Degree"
