section,category,value_type,statewide_usd,rogue_workforce_partnership_usd
totals,Median Earnings 4Q After,usd,9500,
gender,Women,usd,8500,
gender,Men,usd,10500,
gender,Not Reported,usd,8000,
age,<18,usd,3500,
age,18-24,usd,7500,
age,25+,usd,10500,
race_ethnicity,Asian/Asian American,usd,10500,
race_ethnicity,Black/African American,usd,9000,
race_ethnicity,Latino/a/x/Hispanic,usd,9500,
race_ethnicity,Native American/Alaska Native,usd,8000,
race_ethnicity,Native Hawaiian/Pacific Islander,usd,11500,
race_ethnicity,Two or more,usd,9000,
race_ethnicity,Not reported,usd,8000,
race_ethnicity,White,usd,9500,
