workforce_board,total_participants,note
All (Statewide),8134,sum across Oregon local boards
Rogue Workforce Partnership,1230,extracted with single-board filter
Clackamas Workforce Partnership,,not extracted - requires per-board filter
East Cascades Works,,not extracted - requires per-board filter
Eastern Oregon Workforce Board,,not extracted - requires per-board filter
Lane Workforce Partnership,,not extracted - requires per-board filter
Northwest Oregon Works,,not extracted - requires per-board filter
Southwestern Oregon Workforce Investment Board,,not extracted - requires per-board filter
Willamette Workforce Partnership,,not extracted - requires per-board filter
Worksystems,,not extracted - requires per-board filter
